MATCH_ID;SAISON_ID;COMPETITION_ID;MATCHDAY;HOME_TEAM;AWAY_TEAM;HOME_SCORE;AWAY_SCORE;STADIUM;DATE_TIME;DATE_DAY
FR270559593392;S20202021;FR270559;24.0;La Rochelle;Agen;59.0;0.0;Stade Marcel-Deflandre;11:00 AM;May 15 2021
FR270559593391;S20202021;FR270559;24.0;Bordeaux Begles;Castres Olympique;20.0;16.0;Stade Chaban-Delmas;8:45 AM;May 15 2021
FR270559593390;S20202021;FR270559;23.0;Toulon;Stade Toulousain;44.0;10.0;Stade Mayol;3:05 PM;May 8 2021
FR270559593389;S20202021;FR270559;23.0;Montpellier Herault;La Rochelle;32.0;22.0;GGL Stadium;11:45 AM;May 8 2021
FR270559593388;S20202021;FR270559;23.0;Castres Olympique;Lyon;37.0;29.0;Stade Pierre Fabre;2:45 PM;May 7 2021
FR270559593387;S20202021;FR270559;23.0;Brive;Stade Francais Paris;28.0;31.0;Stade Amedee-Domenech;11:45 AM;May 8 2021
FR270559593386;S20202021;FR270559;23.0;Bayonne;Bordeaux Begles;22.0;47.0;Stade Jean Dauger;11:45 AM;May 8 2021
FR270559593385;S20202021;FR270559;23.0;Agen;Pau;7.0;47.0;Alfred Armandie;11:45 AM;May 8 2021
FR270559593384;S20202021;FR270559;23.0;Racing 92;Clermont Auvergne;45.0;19.0;Paris La Defense Arena;8:45 AM;May 8 2021
FR270559593383;S20202021;FR270559;22.0;Toulon;Agen;34.0;17.0;Stade Mayol;12:30 PM;May 1 2021
FR270559593382;S20202021;FR270559;22.0;Stade Francais Paris;Pau;46.0;32.0;Stade Jean Bouin;11:45 AM;April 24 2021
FR270559593381;S20202021;FR270559;22.0;Brive;La Rochelle;24.0;12.0;Stade Amedee-Domenech;12:45 PM;May 11 2021
FR270559593380;S20202021;FR270559;22.0;Bordeaux Begles;Montpellier Herault;57.0;9.0;Stade Chaban-Delmas;2:45 PM;May 25 2021
FR270559593379;S20202021;FR270559;22.0;Bayonne;Castres Olympique;23.0;26.0;Stade Jean Dauger;2:45 PM;April 29 2021
FR270559593378;S20202021;FR270559;22.0;Stade Toulousain;Racing 92;34.0;16.0;Stade Ernest-Wallon;3:05 PM;April 24 2021
FR270559593377;S20202021;FR270559;22.0;Lyon;Clermont Auvergne;41.0;30.0;Matmut Stadium de Gerland;8:45 AM;April 24 2021
FR270559593376;S20202021;FR270559;21.0;Pau;Bayonne;43.0;33.0;Stade du Hameau;2:45 PM;April 16 2021
FR270559593375;S20202021;FR270559;21.0;La Rochelle;Lyon;38.0;23.0;Stade Marcel-Deflandre;3:05 PM;April 17 2021
FR270559593374;S20202021;FR270559;21.0;Clermont Auvergne;Brive;37.0;27.0;Stade Marcel Michelin;12:30 PM;May 1 2021
