Saison;Competition;Journee;Lien
2020/2021;Top 14;16;https://www.espn.com/rugby/match?gameId=593339&league=270559
2020/2021;Top 14;16;https://www.espn.com/rugby/match?gameId=593340&league=270559
2020/2021;Top 14;16;https://www.espn.com/rugby/match?gameId=593341&league=270559
2020/2021;Top 14;17;https://www.espn.com/rugby/match?gameId=593342&league=270559
2020/2021;Top 14;17;https://www.espn.com/rugby/match?gameId=593343&league=270559
2020/2021;Top 14;17;https://www.espn.com/rugby/match?gameId=593344&league=270559
2020/2021;Top 14;17;https://www.espn.com/rugby/match?gameId=593345&league=270559
2020/2021;Top 14;17;https://www.espn.com/rugby/match?gameId=593346&league=270559
2020/2021;Top 14;17;https://www.espn.com/rugby/match?gameId=593347&league=270559
2020/2021;Top 14;17;https://www.espn.com/rugby/match?gameId=593348&league=270559
2020/2021;Top 14;18;https://www.espn.com/rugby/match?gameId=593349&league=270559
2020/2021;Top 14;18;https://www.espn.com/rugby/match?gameId=593350&league=270559
2020/2021;Top 14;18;https://www.espn.com/rugby/match?gameId=593351&league=270559
2020/2021;Top 14;18;https://www.espn.com/rugby/match?gameId=593352&league=270559
2020/2021;Top 14;18;https://www.espn.com/rugby/match?gameId=593353&league=270559
2020/2021;Top 14;18;https://www.espn.com/rugby/match?gameId=593354&league=270559
2020/2021;Top 14;18;https://www.espn.com/rugby/match?gameId=593355&league=270559
2020/2021;Top 14;19;https://www.espn.com/rugby/match?gameId=593356&league=270559
2020/2021;Top 14;19;https://www.espn.com/rugby/match?gameId=593357&league=270559
2020/2021;Top 14;19;https://www.espn.com/rugby/match?gameId=593358&league=270559
2020/2021;Top 14;19;https://www.espn.com/rugby/match?gameId=593359&league=270559
2020/2021;Top 14;19;https://www.espn.com/rugby/match?gameId=593360&league=270559
2020/2021;Top 14;19;https://www.espn.com/rugby/match?gameId=593361&league=270559
2020/2021;Top 14;19;https://www.espn.com/rugby/match?gameId=593362&league=270559
2020/2021;Top 14;20;https://www.espn.com/rugby/match?gameId=593363&league=270559
2020/2021;Top 14;20;https://www.espn.com/rugby/match?gameId=593364&league=270559
2020/2021;Top 14;20;https://www.espn.com/rugby/match?gameId=593365&league=270559
2020/2021;Top 14;20;https://www.espn.com/rugby/match?gameId=593366&league=270559
2020/2021;Top 14;20;https://www.espn.com/rugby/match?gameId=593367&league=270559
2020/2021;Top 14;20;https://www.espn.com/rugby/match?gameId=593368&league=270559
2020/2021;Top 14;20;https://www.espn.com/rugby/match?gameId=593369&league=270559
2020/2021;Top 14;21;https://www.espn.com/rugby/match?gameId=593370&league=270559
2020/2021;Top 14;21;https://www.espn.com/rugby/match?gameId=593371&league=270559
2020/2021;Top 14;21;https://www.espn.com/rugby/match?gameId=593372&league=270559
2020/2021;Top 14;21;https://www.espn.com/rugby/match?gameId=593373&league=270559
2020/2021;Top 14;21;https://www.espn.com/rugby/match?gameId=593374&league=270559
2020/2021;Top 14;21;https://www.espn.com/rugby/match?gameId=593375&league=270559
2020/2021;Top 14;21;https://www.espn.com/rugby/match?gameId=593376&league=270559
2020/2021;Top 14;22;https://www.espn.com/rugby/match?gameId=593377&league=270559
2020/2021;Top 14;22;https://www.espn.com/rugby/match?gameId=593378&league=270559
2020/2021;Top 14;22;https://www.espn.com/rugby/match?gameId=593379&league=270559
2020/2021;Top 14;22;https://www.espn.com/rugby/match?gameId=593380&league=270559
2020/2021;Top 14;22;https://www.espn.com/rugby/match?gameId=593381&league=270559
2020/2021;Top 14;22;https://www.espn.com/rugby/match?gameId=593382&league=270559
2020/2021;Top 14;22;https://www.espn.com/rugby/match?gameId=593383&league=270559
2020/2021;Top 14;23;https://www.espn.com/rugby/match?gameId=593384&league=270559
2020/2021;Top 14;23;https://www.espn.com/rugby/match?gameId=593385&league=270559
2020/2021;Top 14;23;https://www.espn.com/rugby/match?gameId=593386&league=270559
2020/2021;Top 14;23;https://www.espn.com/rugby/match?gameId=593387&league=270559
2020/2021;Top 14;23;https://www.espn.com/rugby/match?gameId=593388&league=270559
2020/2021;Top 14;23;https://www.espn.com/rugby/match?gameId=593389&league=270559
2020/2021;Top 14;23;https://www.espn.com/rugby/match?gameId=593390&league=270559
2020/2021;Top 14;24;https://www.espn.com/rugby/match?gameId=593391&league=270559
2020/2021;Top 14;24;https://www.espn.com/rugby/match?gameId=593392&league=270559
2020/2021;Top 14;24;https://www.espn.com/rugby/match?gameId=593393&league=270559
2020/2021;Top 14;24;https://www.espn.com/rugby/match?gameId=593394&league=270559
2020/2021;Top 14;24;https://www.espn.com/rugby/match?gameId=593395&league=270559
2020/2021;Top 14;24;https://www.espn.com/rugby/match?gameId=593396&league=270559
2020/2021;Top 14;24;https://www.espn.com/rugby/match?gameId=593397&league=270559
2020/2021;Top 14;25;https://www.espn.com/rugby/match?gameId=593398&league=270559
2020/2021;Top 14;25;https://www.espn.com/rugby/match?gameId=593399&league=270559
2020/2021;Top 14;25;https://www.espn.com/rugby/match?gameId=593400&league=270559
2020/2021;Top 14;25;https://www.espn.com/rugby/match?gameId=593401&league=270559
2020/2021;Top 14;25;https://www.espn.com/rugby/match?gameId=593402&league=270559
2020/2021;Top 14;25;https://www.espn.com/rugby/match?gameId=593403&league=270559
2020/2021;Top 14;25;https://www.espn.com/rugby/match?gameId=593404&league=270559
2020/2021;Top 14;26;https://www.espn.com/rugby/match?gameId=593405&league=270559
2020/2021;Top 14;26;https://www.espn.com/rugby/match?gameId=593406&league=270559
2020/2021;Top 14;26;https://www.espn.com/rugby/match?gameId=593407&league=270559
2020/2021;Top 14;26;https://www.espn.com/rugby/match?gameId=593408&league=270559
2020/2021;Top 14;26;https://www.espn.com/rugby/match?gameId=593409&league=270559
2020/2021;Top 14;26;https://www.espn.com/rugby/match?gameId=593410&league=270559
2020/2021;Top 14;26;https://www.espn.com/rugby/match?gameId=593411&league=270559
