MATCH_ID;SAISON_ID;COMPETITION_ID;HOME_TEAM;AWAY_TEAM;HOME_SCORE;AWAY_SCORE
FR270559593364;20202021;270559;Stade Francais Paris;Clermont Auvergne;27;34
FR270559593365;20202021;270559;Bayonne;Racing 92;23;13
FR270559593366;20202021;270559;Bordeaux Begles;La Rochelle;11;26
FR270559593367;20202021;270559;Brive;Agen;57;3
FR270559593368;20202021;270559;Castres Olympique;Pau;38;33
FR270559593369;20202021;270559;Stade Toulousain;Montpellier Herault;16;29
FR270559593363;20202021;270559;Lyon;Toulon;54;16
FR270559593360;20202021;270559;La Rochelle;Bayonne;40;3
FR270559593357;20202021;270559;Racing 92;Bordeaux Begles;32;33
FR270559593358;20202021;270559;Agen;Stade Toulousain;0;59
FR270559593359;20202021;270559;Clermont Auvergne;Castres Olympique;59;19
FR270559593361;20202021;270559;Montpellier Herault;Lyon;16;21
FR270559593362;20202021;270559;Pau;Brive;27;32
FR270559593356;20202021;270559;Toulon;Stade Francais Paris;35;13
FR270559593350;20202021;270559;Montpellier Herault;Clermont Auvergne;22;16
FR270559593355;20202021;270559;Stade Toulousain;Brive;42;17
FR270559593351;20202021;270559;Bayonne;Lyon;20;28
FR270559593352;20202021;270559;Bordeaux Begles;Pau;29;23
FR270559593353;20202021;270559;Castres Olympique;La Rochelle;22;15
FR270559593354;20202021;270559;Stade Francais Paris;Agen;40;21
FR270559593349;20202021;270559;Toulon;Racing 92;25;21
FR270559593348;20202021;270559;Racing 92;Castres Olympique;23;20
FR270559593346;20202021;270559;La Rochelle;Stade Francais Paris;16;11
FR270559593343;20202021;270559;Agen;Montpellier Herault;19;39
FR270559593344;20202021;270559;Brive;Bordeaux Begles;25;23
FR270559593345;20202021;270559;Clermont Auvergne;Bayonne;73;3
FR270559593347;20202021;270559;Pau;Toulon;29;33
FR270559593342;20202021;270559;Lyon;Stade Toulousain;31;23
FR270559593341;20202021;270559;Stade Toulousain;Pau;31;9
FR270559593335;20202021;270559;Bordeaux Begles;Stade Francais Paris;44;6
FR270559593338;20202021;270559;Castres Olympique;Montpellier Herault;48;17
FR270559593339;20202021;270559;Racing 92;Lyon;34;26
FR270559593340;20202021;270559;Toulon;La Rochelle;11;29
FR270559593337;20202021;270559;Bayonne;Brive;26;23
FR270559593336;20202021;270559;Agen;Clermont Auvergne;16;52
FR270559593333;20202021;270559;Montpellier Herault;Racing 92;22;24
FR270559593328;20202021;270559;Clermont Auvergne;Bordeaux Begles;36;37
FR270559593331;20202021;270559;Brive;Toulon;25;23
FR270559593332;20202021;270559;Lyon;Pau;17;18
FR270559593334;20202021;270559;Stade Francais Paris;Castres Olympique;29;9
FR270559593329;20202021;270559;La Rochelle;Stade Toulousain;11;14
FR270559593330;20202021;270559;Bayonne;Agen;48;20
FR270559593324;20202021;270559;Castres Olympique;Agen;39;23
FR270559593323;20202021;270559;Brive;Montpellier Herault;23;22
FR270559593325;20202021;270559;Pau;Clermont Auvergne;31;42
FR270559593322;20202021;270559;Bordeaux Begles;Lyon;31;9
FR270559593321;20202021;270559;Stade Toulousain;Stade Francais Paris;48;24
FR270559593326;20202021;270559;Racing 92;La Rochelle;26;22
FR270559593327;20202021;270559;Toulon;Bayonne;14;16
FR270559593314;20202021;270559;Bordeaux Begles;Toulon;31;18
FR270559593316;20202021;270559;Montpellier Herault;Stade Toulousain;9;16
FR270559593317;20202021;270559;Agen;La Rochelle;13;43
FR270559593319;20202021;270559;Lyon;Castres Olympique;14;15
FR270559593320;20202021;270559;Stade Francais Paris;Brive;51;21
FR270559593315;20202021;270559;Clermont Auvergne;Racing 92;22;24
FR270559593318;20202021;270559;Bayonne;Pau;22;23
FR270559593304;20202021;270559;Clermont Auvergne;Montpellier Herault;15;21
FR270559593301;20202021;270559;Bordeaux Begles;Racing 92;12;17
FR270559593302;20202021;270559;Agen;Brive;6;15
FR270559593303;20202021;270559;Bayonne;Stade Toulousain;20;24
FR270559593305;20202021;270559;Lyon;La Rochelle;22;18
FR270559593306;20202021;270559;Pau;Castres Olympique;13;17
FR270559593300;20202021;270559;Stade Francais Paris;Toulon;24;23
FR270559593294;20202021;270559;Castres Olympique;Clermont Auvergne;14;40
FR270559593298;20202021;270559;Toulon;Pau;18;13
FR270559593295;20202021;270559;La Rochelle;Brive;36;22
FR270559593296;20202021;270559;Montpellier Herault;Bordeaux Begles;22;23
FR270559593299;20202021;270559;Stade Toulousain;Agen;63;18
FR270559593297;20202021;270559;Racing 92;Bayonne;43;17
FR270559593293;20202021;270559;Lyon;Stade Francais Paris;20;19
FR270559593290;20202021;270559;Castres Olympique;Bordeaux Begles;29;30
FR270559593292;20202021;270559;Pau;Stade Toulousain;16;22
FR270559593287;20202021;270559;Agen;Toulon;9;38
FR270559593288;20202021;270559;Bayonne;Montpellier Herault;29;20
FR270559593289;20202021;270559;Brive;Racing 92;19;23
FR270559593291;20202021;270559;Stade Francais Paris;La Rochelle;35;13
FR270559593286;20202021;270559;Clermont Auvergne;Lyon;26;18
FR270559593284;20202021;270559;Toulon;Brive;35;19
FR270559593285;20202021;270559;Stade Toulousain;Castres Olympique;16;16
FR270559593281;20202021;270559;Bordeaux Begles;Bayonne;43;19
FR270559593283;20202021;270559;Racing 92;Pau;24;22
FR270559593280;20202021;270559;Agen;Lyon;16;19
FR270559593279;20202021;270559;La Rochelle;Clermont Auvergne;19;10
FR270559593282;20202021;270559;Montpellier Herault;Stade Francais Paris;31;6
FR270559593275;20202021;270559;Brive;Clermont Auvergne;21;43
